id,question,golden_chunk_ids,retrieved_chunk_ids,hit_top1,hit_top3,hit_top5,rank,skipped_for_recall,top_k,chapter,question_type,difficulty,answerable,golden_answer,top1_content,retrieved_scores
case_001,火花塞间隙标准是多少？,618bea68:02:txt:0001,618bea68:12:tbl:0001;618bea68:12:tbl:0002;618bea68:12:tbl:0000;618bea68:31:tbl:0003;618bea68:31:tbl:0002;618bea68:12:img:0000;618bea68:12:txt:0021;618bea68:31:tbl:0000;618bea68:31:tbl:0004;618bea68:31:tbl:0001;618bea68:12:txt:0002,False,False,False,,False,5,火花塞,spec,easy,True,火花塞间隙标准值是 0.7 到 0.9 mm。,"表格：第15页表格
气门类型=进气门；标准间隙范围=0.13～0.20 mm",0.683280;0.678354;0.673975;0.576083;0.563647;0.628354;0.623975;0.526083;0.526083;0.513647;0.633280
case_002,火花塞安装时拧紧力矩是多少？,618bea68:02:txt:0002,618bea68:03:tbl:0000;618bea68:26:tbl:0003;618bea68:03:tbl:0001;618bea68:26:tbl:0002;618bea68:03:tbl:0004;618bea68:03:txt:0011;618bea68:26:tbl:0000;618bea68:26:tbl:0004;618bea68:03:tbl:0002;618bea68:26:tbl:0001;618bea68:03:tbl:0003,False,False,False,,False,5,火花塞,torque,easy,True,火花塞可使用定扭扳手拧紧至 20±2 N·m。,"表格：第4页表格
序号 | 零件名称 | 数量 | 工具/扭矩要求
1 | 涨紧器 | 1 | 8# T 杆或套筒
2 | 正极线螺母 | 1 | 10# 扳手或套筒 / 5 ± 1.5 N·m
3 | M6×30 六角法兰面螺栓（环保彩锌） | 2 | 8# T 杆或套筒 / 12 ± 1.5 N·m
4 | 起动电机 | 1 | —",0.611555;0.571528;0.571513;0.562896;0.560725;0.561555;0.521528;0.521528;0.521513;0.512896;0.510725
case_003,安装火花塞前需要先预紧几圈？,618bea68:02:txt:0002,618bea68:02:txt:0002;618bea68:02:txt:0009;618bea68:02:txt:0006;618bea68:01:txt:0026;618bea68:01:txt:0012;618bea68:02:img:0000;618bea68:02:txt:0007;618bea68:02:txt:0000;618bea68:02:txt:0003;618bea68:02:txt:0004;618bea68:02:txt:0005,True,True,True,1,False,5,火花塞,procedure,easy,True,将火花塞放入气缸头后顺时针转动 3 圈预紧，然后再转动 1/4 圈。,"1. 将火花塞放入气缸头，套上火花塞专用套筒，
顺时针转动 3 圈预紧 ，
然后再转动 1/4 圈 ，
或使用定扭扳手将其拧紧至 20 ± 2 N·m 。",0.753539;0.694776;0.686889;0.665784;0.665784;0.644776;0.636889;0.703539;0.703539;0.703539;0.703539
case_004,拆卸火花塞前要注意什么？,618bea68:02:txt:0006,618bea68:02:txt:0006;618bea68:01:txt:0026;618bea68:01:txt:0012;618bea68:01:txt:0027;618bea68:02:txt:0007;618bea68:01:txt:0025;618bea68:01:txt:0011;618bea68:01:txt:0028;618bea68:02:txt:0000;618bea68:02:txt:0003;618bea68:02:txt:0004,True,True,True,1,False,5,火花塞,safety,easy,True,拆卸火花塞前要确保火花塞孔及其周围没有灰尘。,"2. 拆卸火花塞。
注意 ：在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。",0.788106;0.758803;0.758803;0.717533;0.807419;0.708803;0.708803;0.667533;0.738106;0.738106;0.738106
case_005,压缩压力的标准范围是多少？,618bea68:02:txt:0008,618bea68:12:tbl:0002;618bea68:12:tbl:0001;618bea68:12:tbl:0000;618bea68:19:tbl:0019;618bea68:07:tbl:0002;618bea68:12:img:0000;618bea68:12:txt:0021;618bea68:19:tbl:0005;618bea68:19:tbl:0018;618bea68:19:tbl:0020;618bea68:07:tbl:0000,False,False,False,,False,5,火花塞,spec,medium,True,压缩压力标准范围为 1300 到 1900 kPa（1500 r/min）或 500 到 900 kPa（540 r/min）。,"表格：第15页表格
气门类型=排气门；标准间隙范围=0.20～0.30 mm",0.646154;0.636038;0.626234;0.565676;0.497669;0.596154;0.576234;0.515676;0.515676;0.515676;0.447669
case_006,压缩压力高于最大值时应检查哪里？,618bea68:02:txt:0008,618bea68:02:txt:0008;618bea68:02:img:0000;618bea68:07:tbl:0002;618bea68:02:txt:0004;618bea68:00:txt:0000;618bea68:02:txt:0009;618bea68:02:txt:0000;618bea68:02:txt:0003;618bea68:02:txt:0005;618bea68:02:txt:0006;618bea68:07:txt:0000,True,True,True,1,False,5,火花塞,diagnosis,medium,True,应检查气缸头、气门表面和活塞顶部是否有积碳，如有则清除积碳。,"4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。",0.698759;0.577597;0.498383;0.668526;0.668526;0.527597;0.527597;0.648759;0.648759;0.648759;0.448383
case_007,压缩压力低于最小值时怎么判断是不是活塞环问题？,618bea68:02:txt:0008,618bea68:02:txt:0008;618bea68:15:txt:0012;618bea68:00:txt:0015;618bea68:02:txt:0004;618bea68:00:txt:0000;618bea68:15:txt:0011;618bea68:15:tbl:0000;618bea68:00:txt:0014;618bea68:00:txt:0016;618bea68:02:txt:0000;618bea68:02:txt:0003,True,True,True,1,False,5,火花塞,diagnosis,hard,True,往火花塞孔倒一勺机油并再次测量；如果压力比加机油前高，说明活塞环磨损或损坏。,"4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。",0.698815;0.649023;0.631940;0.631309;0.631309;0.599023;0.599023;0.581940;0.581940;0.648815;0.648815
case_008,起动电机较难取下时怎么办？,618bea68:03:txt:0011,618bea68:03:txt:0011;618bea68:27:txt:0002;618bea68:03:txt:0008;618bea68:03:txt:0010;618bea68:00:txt:0002;618bea68:03:tbl:0000;618bea68:27:txt:0001;618bea68:27:tbl:0000;618bea68:03:txt:0007;618bea68:03:txt:0009;618bea68:03:txt:0003,True,True,True,1,False,5,起动电机,procedure,easy,True,如果起动电机较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。,"4. 取出起动电机
取下起动电机。
提示 ：若较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。
No. 4 / 41",0.783027;0.729792;0.722883;0.716116;0.716116;0.733027;0.679792;0.679792;0.672883;0.666116;0.733027
case_009,起动电机轴转动不灵活时怎么处理？,618bea68:04:txt:0001,618bea68:04:txt:0001;618bea68:24:txt:0012;618bea68:24:txt:0013;618bea68:27:txt:0002;618bea68:03:txt:0008;618bea68:04:txt:0000;618bea68:04:txt:0002;618bea68:24:txt:0011;618bea68:24:txt:0014;618bea68:27:txt:0001;618bea68:27:tbl:0000,True,True,True,1,False,5,起动电机,inspection,easy,True,检查起动电机轴是否转动灵活；若不灵活，应更换起动电机。,"1. 检查起动电机状态
检查起动电机轴是否转动灵活。
若不灵活 → 更换起动电机 。",0.783512;0.692140;0.675215;0.659801;0.659700;0.733512;0.733512;0.642140;0.625215;0.609801;0.609801
case_010,安装起动电机本体时要对齐什么？,618bea68:04:txt:0003,618bea68:04:txt:0003;618bea68:00:txt:0003;618bea68:04:txt:0006;618bea68:04:txt:0004;618bea68:04:txt:0002;618bea68:00:txt:0002;618bea68:04:txt:0005;618bea68:04:txt:0007;618bea68:04:txt:0001;618bea68:04:txt:0009;618bea68:00:txt:0011,True,True,True,1,False,5,起动电机,procedure,easy,True,起动电机头部要对准左盖孔，推入后两个螺栓孔需与箱体螺纹孔对齐。,"2. 安装本体
将起动电机头部对准左盖孔，适当摇晃并缓慢推入，
直至起动电机的两个螺栓孔与箱体上的螺纹孔对齐。",0.758566;0.735679;0.735679;0.735679;0.735679;0.685679;0.685679;0.685679;0.685679;0.708566;0.685679
