id,question,golden_chunk_ids,retrieved_chunk_ids,hit_top1,hit_top3,hit_top5,rank,skipped_for_recall,top_k,chapter,question_type,difficulty,answerable,golden_answer,top1_content,retrieved_scores
case_001,火花塞间隙标准是多少？,eee9bf78:02:txt:0001,eee9bf78:02:txt:0001;eee9bf78:12:txt:0016;eee9bf78:12:txt:0002;eee9bf78:12:txt:0014;eee9bf78:12:txt:0020;eee9bf78:12:txt:0015;eee9bf78:12:txt:0017;eee9bf78:12:txt:0001;eee9bf78:12:txt:0003;eee9bf78:02:txt:0003;eee9bf78:02:txt:0006,True,True,True,1,False,5,火花塞,spec,easy,True,火花塞间隙标准值是 0.7 到 0.9 mm。,"2. 用塞尺测量火花塞间隙 a ，超出范围须更换火花塞。
间隙标准值 ： 0.7 ～ 0.9 mm",0.786165;0.643345;0.642524;0.641371;0.639939;0.593345;0.593345;0.592524;0.592524;0.736165;0.736165
case_002,火花塞安装时拧紧力矩是多少？,eee9bf78:02:txt:0002,eee9bf78:02:txt:0002;eee9bf78:02:txt:0009;eee9bf78:06:txt:0001;eee9bf78:03:txt:0000;eee9bf78:03:txt:0003;eee9bf78:02:img:0000;eee9bf78:02:txt:0003;eee9bf78:02:txt:0006;eee9bf78:02:txt:0008;eee9bf78:02:txt:0007;eee9bf78:02:srw:0003,True,True,True,1,False,5,火花塞,torque,easy,True,火花塞可使用定扭扳手拧紧至 20±2 N·m。,"1. 将火花塞放入气缸头，套上火花塞专用套筒，
顺时针转动 3 圈预紧 ，
然后再转动 1/4 圈 ，
或使用定扭扳手将其拧紧至 20 ± 2 N·m 。",0.752105;0.693144;0.614059;0.633965;0.633965;0.643144;0.702105;0.702105;0.702105;0.702105;0.702105
case_003,安装火花塞前需要先预紧几圈？,eee9bf78:02:txt:0002,eee9bf78:02:txt:0002;eee9bf78:02:txt:0009;eee9bf78:02:txt:0003;eee9bf78:02:txt:0000;eee9bf78:02:txt:0006;eee9bf78:02:img:0000;eee9bf78:02:txt:0004;eee9bf78:02:txt:0008;eee9bf78:02:txt:0007;eee9bf78:02:srw:0003;eee9bf78:02:srw:0005,True,True,True,1,False,5,火花塞,procedure,easy,True,将火花塞放入气缸头后顺时针转动 3 圈预紧，然后再转动 1/4 圈。,"1. 将火花塞放入气缸头，套上火花塞专用套筒，
顺时针转动 3 圈预紧 ，
然后再转动 1/4 圈 ，
或使用定扭扳手将其拧紧至 20 ± 2 N·m 。",0.753539;0.694776;0.676034;0.637313;0.686889;0.644776;0.626034;0.703539;0.703539;0.703539;0.703539
case_004,拆卸火花塞前要注意什么？,eee9bf78:02:txt:0006,eee9bf78:02:txt:0007;eee9bf78:02:txt:0006;eee9bf78:01:txt:0012;eee9bf78:01:txt:0026;eee9bf78:01:txt:0027;eee9bf78:01:txt:0011;eee9bf78:01:txt:0025;eee9bf78:02:txt:0003;eee9bf78:02:txt:0008;eee9bf78:02:srw:0003;eee9bf78:02:srw:0005,False,True,True,2,False,5,火花塞,safety,easy,True,拆卸火花塞前要确保火花塞孔及其周围没有灰尘。,注意 ：在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。,0.807419;0.788106;0.758803;0.758803;0.717953;0.708803;0.708803;0.757419;0.757419;0.757419;0.757419
case_005,压缩压力的标准范围是多少？,eee9bf78:02:txt:0008,eee9bf78:02:txt:0008;eee9bf78:02:txt:0004;eee9bf78:12:tbl:0002;eee9bf78:12:tbl:0001;eee9bf78:02:txt:0001;eee9bf78:02:txt:0003;eee9bf78:12:tbl:0000;eee9bf78:12:img:0000;eee9bf78:02:txt:0006;eee9bf78:02:txt:0007;eee9bf78:02:srw:0003,True,True,True,1,False,5,火花塞,spec,medium,True,压缩压力标准范围为 1300 到 1900 kPa（1500 r/min）或 500 到 900 kPa（540 r/min）。,"4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。",0.697066;0.691323;0.511717;0.510977;0.477080;0.641323;0.461717;0.461717;0.647066;0.647066;0.647066
case_006,压缩压力高于最大值时应检查哪里？,eee9bf78:02:txt:0008,eee9bf78:02:txt:0008;eee9bf78:02:txt:0004;eee9bf78:10:txt:0000;eee9bf78:02:txt:0005;eee9bf78:02:txt:0006;eee9bf78:02:txt:0003;eee9bf78:10:txt:0001;eee9bf78:02:txt:0007;eee9bf78:02:srw:0003;eee9bf78:02:srw:0005;eee9bf78:10:txt:0002,True,True,True,1,False,5,火花塞,diagnosis,medium,True,应检查气缸头、气门表面和活塞顶部是否有积碳，如有则清除积碳。,"4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。",0.698759;0.667085;0.556740;0.562015;0.527056;0.617085;0.506740;0.648759;0.648759;0.648759;0.506740
case_007,压缩压力低于最小值时怎么判断是不是活塞环问题？,eee9bf78:02:txt:0008,eee9bf78:02:txt:0008;eee9bf78:15:txt:0012;eee9bf78:17:txt:0012;eee9bf78:17:txt:0019;eee9bf78:17:txt:0001;eee9bf78:15:txt:0011;eee9bf78:17:txt:0011;eee9bf78:17:txt:0013;eee9bf78:02:txt:0003;eee9bf78:02:txt:0006;eee9bf78:02:txt:0007,True,True,True,1,False,5,火花塞,diagnosis,hard,True,往火花塞孔倒一勺机油并再次测量；如果压力比加机油前高，说明活塞环磨损或损坏。,"4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。",0.698815;0.649023;0.624825;0.624825;0.624772;0.599023;0.574825;0.574825;0.648815;0.648815;0.648815
case_008,起动电机较难取下时怎么办？,eee9bf78:03:txt:0011,eee9bf78:03:txt:0011;eee9bf78:03:txt:0000;eee9bf78:03:txt:0003;eee9bf78:03:txt:0006;eee9bf78:03:txt:0009;eee9bf78:03:txt:0010;eee9bf78:03:tbl:0000;eee9bf78:03:txt:0001;eee9bf78:03:txt:0004;eee9bf78:03:tbl:0001;eee9bf78:03:tbl:0004,True,True,True,1,False,5,起动电机,procedure,easy,True,如果起动电机较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。,"4. 取出起动电机
取下起动电机。
提示 ：若较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。
No. 4 / 41",0.783027;0.664155;0.664155;0.664155;0.664155;0.733027;0.733027;0.614155;0.614155;0.733027;0.733027
case_009,起动电机轴转动不灵活时怎么处理？,eee9bf78:04:txt:0001,eee9bf78:04:txt:0001;eee9bf78:32:txt:0006;eee9bf78:03:txt:0008;eee9bf78:03:txt:0011;eee9bf78:04:txt:0003;eee9bf78:04:txt:0000;eee9bf78:04:txt:0002;eee9bf78:32:txt:0005;eee9bf78:32:img:0000;eee9bf78:03:txt:0007;eee9bf78:04:txt:0005,True,True,True,1,False,5,起动电机,inspection,easy,True,检查起动电机轴是否转动灵活；若不灵活，应更换起动电机。,"1. 检查起动电机状态
检查起动电机轴是否转动灵活。
若不灵活 → 更换起动电机 。",0.783512;0.581332;0.659700;0.656639;0.637361;0.733512;0.733512;0.531332;0.531332;0.609700;0.733512
case_010,安装起动电机本体时要对齐什么？,eee9bf78:04:txt:0003,eee9bf78:04:txt:0001;eee9bf78:04:txt:0007;eee9bf78:04:txt:0003;eee9bf78:04:txt:0000;eee9bf78:04:txt:0002;eee9bf78:04:txt:0006;eee9bf78:04:txt:0008;eee9bf78:04:txt:0004;eee9bf78:04:txt:0005;eee9bf78:04:srw:0000,False,True,True,3,False,5,起动电机,procedure,easy,True,起动电机头部要对准左盖孔，推入后两个螺栓孔需与箱体螺纹孔对齐。,"1. 检查起动电机状态
检查起动电机轴是否转动灵活。
若不灵活 → 更换起动电机 。",0.697417;0.711532;0.758566;0.735679;0.735679;0.661532;0.661532;0.708566;0.647417;0.647417
