id,question,question_type,difficulty,answerable,golden_answer,required_facts,optional_facts,golden_chunk_ids,retrieved_chunk_ids,retrieval_hit_top5,retrieval_rank,generated_answer,matched_required_facts,missing_required_facts,matched_optional_facts,missing_optional_facts,answer_score,answer_pass,grounded_pass,hallucination,failure_type,judge_reason,score_source,latency_ms,retrieval_ms,llm_ms,tools_used,error,top_k
case_001,火花塞间隙标准是多少？,spec,easy,True,火花塞间隙标准值是 0.7 到 0.9 mm。,火花塞间隙标准值是 0.7 到 0.9 mm。,,eee9bf78:02:txt:0001,eee9bf78:02:txt:0001;eee9bf78:12:txt:0016;eee9bf78:12:txt:0002;eee9bf78:12:txt:0014;eee9bf78:12:txt:0020;eee9bf78:12:txt:0015;eee9bf78:12:txt:0017;eee9bf78:12:txt:0001;eee9bf78:12:txt:0003;eee9bf78:02:txt:0003;eee9bf78:02:txt:0008,True,1,0.7 ～ 0.9 mm,火花塞间隙标准值是 0.7 到 0.9 mm。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1971,82,1887,knowledge_retrieval,,5
case_002,火花塞安装时拧紧力矩是多少？,torque,easy,True,火花塞可使用定扭扳手拧紧至 20±2 N·m。,火花塞可使用定扭扳手拧紧至 20±2 N·m。,,eee9bf78:02:txt:0002,eee9bf78:02:txt:0002;eee9bf78:02:txt:0009;eee9bf78:06:txt:0001;eee9bf78:02:txt:0006;eee9bf78:02:txt:0003;eee9bf78:02:img:0000;eee9bf78:02:txt:0008;eee9bf78:02:txt:0007;eee9bf78:02:srw:0003;eee9bf78:02:srw:0006;eee9bf78:02:srw:0008,True,1,"拧紧对象：火花塞  
扭矩值：20 ± 2 N·m  
是否分次：是（先顺时针预紧3圈，再转动1/4圈；或直接用定扭扳手拧紧至规定扭矩）  
顺序或注意事项：安装前确保火花塞孔及周围无灰尘；使用火花塞专用套筒（16 mm）操作。",火花塞可使用定扭扳手拧紧至 20±2 N·m。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1814,60,1753,knowledge_retrieval,,5
case_003,安装火花塞前需要先预紧几圈？,procedure,easy,True,将火花塞放入气缸头后顺时针转动 3 圈预紧，然后再转动 1/4 圈。,顺时针转动 3 圈;1/4 圈,火花塞放入气缸头,eee9bf78:02:txt:0002,eee9bf78:02:txt:0009;eee9bf78:02:txt:0002;eee9bf78:02:txt:0001;eee9bf78:02:txt:0003;eee9bf78:02:txt:0000;eee9bf78:02:img:0000;eee9bf78:02:txt:0008;eee9bf78:02:txt:0007;eee9bf78:02:srw:0003;eee9bf78:02:srw:0006;eee9bf78:02:srw:0008,True,2,"前置条件：  
无明确前置条件说明。  

操作步骤：  
将火花塞放入气缸头，套上火花塞专用套筒，顺时针转动3圈预紧，然后再转动1/4圈，或使用定扭扳手将其拧紧至20 ± 2 N·m。  

安全注意：  
在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。",顺时针转动 3 圈;1/4 圈,,火花塞放入气缸头,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1749,28,1720,knowledge_retrieval,,5
case_004,拆卸火花塞前要注意什么？,safety,easy,True,拆卸火花塞前要确保火花塞孔及其周围没有灰尘。,拆卸火花塞前要确保火花塞孔及其周围没有灰尘。,,eee9bf78:02:txt:0006,eee9bf78:02:txt:0007;eee9bf78:02:txt:0006;eee9bf78:01:txt:0012;eee9bf78:01:txt:0026;eee9bf78:01:txt:0027;eee9bf78:01:txt:0011;eee9bf78:01:txt:0025;eee9bf78:02:txt:0003;eee9bf78:02:txt:0008;eee9bf78:02:srw:0003;eee9bf78:02:srw:0006,True,2,"注意事项：  
拆卸火花塞前要确保火花塞孔及其周围没有灰尘。  

原因或风险：  
灰尘可能在拆卸过程中落入气缸，导致气缸划伤、活塞损坏或燃烧异常等严重故障。  

正确做法：  
清洁火花塞孔及周边区域，确保无灰尘、油污和杂物后再进行拆卸。",拆卸火花塞前要确保火花塞孔及其周围没有灰尘。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1586,27,1558,knowledge_retrieval,,5
case_005,压缩压力的标准范围是多少？,spec,medium,True,压缩压力标准范围为 1300 到 1900 kPa（1500 r/min）或 500 到 900 kPa（540 r/min）。,压缩压力标准范围为 1300 到 1900 kPa（1500 r/min）或 500 到 900 kPa（540 r/min）。,,eee9bf78:02:txt:0008,eee9bf78:02:txt:0008;eee9bf78:02:txt:0004;eee9bf78:02:img:0000;eee9bf78:02:txt:0001;eee9bf78:12:tbl:0002;eee9bf78:02:txt:0003;eee9bf78:02:txt:0009;eee9bf78:02:txt:0007;eee9bf78:02:srw:0003;eee9bf78:02:srw:0006;eee9bf78:02:srw:0008,True,1,1300～1900 kPa（转速：1500 r/min）；500～900 kPa（转速：540 r/min）,压缩压力标准范围为 1300 到 1900 kPa（1500 r/min）或 500 到 900 kPa（540 r/min）。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1104,62,1041,knowledge_retrieval,,5
case_006,压缩压力高于最大值时应检查哪里？,diagnosis,medium,True,应检查气缸头、气门表面和活塞顶部是否有积碳，如有则清除积碳。,应检查气缸头、气门表面和活塞顶部是否有积碳;如有则清除积碳。,,eee9bf78:02:txt:0008,eee9bf78:02:txt:0008;eee9bf78:02:img:0000;eee9bf78:02:txt:0004;eee9bf78:10:txt:0000;eee9bf78:24:txt:0004;eee9bf78:02:txt:0009;eee9bf78:02:txt:0000;eee9bf78:02:txt:0003;eee9bf78:02:txt:0007;eee9bf78:02:srw:0003;eee9bf78:02:srw:0006,True,1,检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。,应检查气缸头、气门表面和活塞顶部是否有积碳;如有则清除积碳。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,838,44,793,knowledge_retrieval,,5
case_007,压缩压力低于最小值时怎么判断是不是活塞环问题？,diagnosis,hard,True,往火花塞孔倒一勺机油并再次测量；如果压力比加机油前高，说明活塞环磨损或损坏。,倒机油;再次测量;压力升高;活塞环磨损或损坏,,eee9bf78:02:txt:0008,eee9bf78:02:txt:0008;eee9bf78:02:img:0000;eee9bf78:15:txt:0012;eee9bf78:15:txt:0010;eee9bf78:17:txt:0007;eee9bf78:02:txt:0009;eee9bf78:02:txt:0000;eee9bf78:02:txt:0003;eee9bf78:02:txt:0007;eee9bf78:02:srw:0003;eee9bf78:02:srw:0006,True,1,往火花塞孔倒一勺机油，再次测量压缩压力；若压力比加机油前高，则是活塞环磨损或损坏。,倒机油;再次测量;压力升高;活塞环磨损或损坏,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,926,65,860,knowledge_retrieval,,5
case_008,起动电机较难取下时怎么办？,procedure,easy,True,如果起动电机较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。,橡胶锤轻轻敲击起动电机辅助拆卸,,eee9bf78:03:txt:0011,eee9bf78:03:txt:0011;eee9bf78:04:txt:0001;eee9bf78:03:txt:0008;eee9bf78:03:txt:0005;eee9bf78:03:txt:0002;eee9bf78:03:txt:0010;eee9bf78:03:tbl:0000;eee9bf78:04:txt:0000;eee9bf78:04:txt:0002;eee9bf78:03:txt:0007;eee9bf78:03:txt:0009,True,1,"前置条件：  
已拆下固定起动电机的2个M6×30六角法兰面螺栓，且已断开正极线路。  

操作步骤：  
若较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。  

安全注意：  
资料中未找到明确依据。",橡胶锤轻轻敲击起动电机辅助拆卸,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1486,56,1429,knowledge_retrieval,,5
case_009,起动电机轴转动不灵活时怎么处理？,inspection,easy,True,检查起动电机轴是否转动灵活；若不灵活，应更换起动电机。,更换起动电机,检查起动电机轴是否转动灵活,eee9bf78:04:txt:0001,eee9bf78:04:txt:0001;eee9bf78:03:txt:0008;eee9bf78:03:txt:0011;eee9bf78:04:txt:0003;eee9bf78:03:txt:0005;eee9bf78:04:txt:0000;eee9bf78:04:txt:0002;eee9bf78:03:txt:0007;eee9bf78:03:txt:0010;eee9bf78:03:tbl:0000;eee9bf78:04:txt:0007,True,1,"检查对象：起动电机轴  
正常标准：转动灵活  
异常表现：转动不灵活  
处理方式：更换起动电机",更换起动电机,,检查起动电机轴是否转动灵活,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1026,59,967,knowledge_retrieval,,5
case_010,安装起动电机本体时要对齐什么？,procedure,easy,True,起动电机头部要对准左盖孔，推入后两个螺栓孔需与箱体螺纹孔对齐。,头部对准左盖孔;两个螺栓孔与箱体螺纹孔对齐,,eee9bf78:04:txt:0003,eee9bf78:04:txt:0003;eee9bf78:04:txt:0001;eee9bf78:04:txt:0007;eee9bf78:04:txt:0010;eee9bf78:04:txt:0000;eee9bf78:04:txt:0002;eee9bf78:04:txt:0004;eee9bf78:04:txt:0006;eee9bf78:04:txt:0008;eee9bf78:04:img:0000;eee9bf78:04:srw:0001,True,1,"前置条件：  
无明确前置条件说明。  

操作步骤：  
将起动电机头部对准左盖孔，适当摇晃并缓慢推入，直至起动电机的两个螺栓孔与箱体上的螺纹孔对齐。  

安全注意：  
资料中未找到明确依据。",头部对准左盖孔;两个螺栓孔与箱体螺纹孔对齐,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1405,27,1377,knowledge_retrieval,,5
