id,query,task_type,intent_action,target_section,target_pages,difficulty,trap_type,answerable,generated_answer,required_nuggets,matched_required_nuggets,missing_required_nuggets,required_nugget_recall,optional_nuggets,matched_optional_nuggets,forbidden_claims,hit_forbidden_claims,forbidden_claim_pass,refusal_pass,expected_step_order,step_positions,procedure_order_pass,grounding_pass,expected_image_pages,retrieved_image_pages,forbidden_image_pages,forbidden_image_hit_pages,image_recall,image_precision,forbidden_image_pass,image_order_pass,step_image_binding_pass,step_image_binding_failures,image_pass,image_eval_required,final_pass,latency_ms,error
adv_img_001,安装火花塞时怎么预紧和拧紧？只看这一节对应图片,procedure,安装,1.3 安装火花塞,3,hard,adjacent_continuous_image;section_boundary,True,"根据手册第3页“1.3 安装火花塞”，原文步骤如下：
1. 将火花塞放入气缸头，套上火花塞专用套筒，
顺时针转动 3 圈预紧 ，
然后再转动 1/4 圈 ，
或使用定扭扳手将其拧紧至 20 ± 2 N·m 。
2. 用尖嘴钳将高压帽套进火花塞并用力往下压紧。",顺时针转动3圈预紧；再转动1/4圈；20±2 N·m,顺时针转动3圈预紧；再转动1/4圈；20±2 N·m,,1.0,,,,,True,True,,,True,True,3,3,4,,1.0,1.0,True,True,True,,True,True,True,10163,
adv_img_002,起动电机装配部件清单里正极线螺母的数量和扭矩是多少？,inventory,清单,2.1 起动电机装配部件清单,4,hard,inventory_vs_procedure;adjacent_continuous_image,True,"根据手册第4页“2.1 起动电机装配部件清单”，与问题匹配的清单条目如下：
2. 正极线螺母；数量：1；备注：10# 扳手或套筒 / 5 ± 1.5 N·m；扭矩：5±1.5 N·m
4. 起动电机；数量：1；备注：—",正极线螺母数量1；5±1.5 N·m,正极线螺母数量1；5±1.5 N·m,,1.0,,,,,True,True,,,True,True,4,4,5,,1.0,1.0,True,True,True,,True,True,True,6694,
adv_img_003,安装起动电机时负极线应该怎么装？不要把清单图混进来,procedure,安装,2.3 安装起动电机,5,hard,procedure_vs_inventory;adjacent_continuous_image,True,"根据《摩托车发动机维修手册》第5页“2.3 安装起动电机”章节：

诊断结论：负极线安装为起动电机安装的关键电气连接步骤，须在本体安装到位后、正极线连接前完成。

步骤一：连接负极线  
操作内容：将负极线按图示位置安装至起动电机指定接线端子，确保接触面清洁、无氧化，线缆走向自然无扭曲或干涉。  
所需工具：十字螺丝刀（或对应规格的扳手）、绝缘手套（建议佩戴）。  
（安全注意：安装前必须断开蓄电池负极桩头，防止短路；作业环境应干燥、无易燃物。）

步骤二：连接正极线  
操作内容：安装正极线、垫片和螺母，并按手册规定扭矩拧紧（具体数值以设备手册或铭牌为准）。  
所需工具：对应规格的套筒扳手、扭力扳手（如手册明确要求）、绝缘手套。

说明：手册中未提供负极线接线端子的具体型号、螺栓规格及拧紧扭矩值；也未给出负极线长度、线径等参数。实际作业中，请以所修车型的完整维修手册或电机本体铭牌标识为准。",按照图示安装起动电机负极线,按照图示安装起动电机负极线,,1.0,,,,,True,True,,,True,True,5,5,4,,1.0,1.0,True,True,True,,True,True,True,9453,
adv_img_004,拆卸发动机时排放机油要拆哪两个放油螺栓？,procedure,拆卸,3.2 拆卸发动机,6,hard,adjacent_continuous_image;substep_boundary,True,"根据手册第6-7页“3.2 拆卸发动机”，原文步骤如下：
1. 排放机油
拆下 发动机左曲轴箱上的放油螺栓 ，将发动机内部机油全部放出。
拆下 车架上的放油螺栓 ，将车架内部机油全部放出。
No. 6 / 41
2. 排放冷却液
拆下 水泵盖上的放水螺栓 ，让冷却液自动流出。
当水流变小时， 打开右水箱盖 ，使发动机内剩余冷却液完全排出。
3. 松开发动机安装螺栓
依次松开以下部件的固定螺栓：
上吊片
托架
后平叉轴
具体操作顺序为：
取下 上吊片固定螺栓 1
取下 托架固定螺栓 1
取下 车架螺栓 2
取下 后平叉轴螺栓 3
4. 拆卸输出链轮组件
用一字螺丝刀将 锁止片 2 敲平 。
松开 锁止螺母 1 并依次取下：
螺母 1
锁止片 2
输出链轮 3
轴套 4
No. 7 / 41",拆下发动机左曲轴箱上的放油螺栓；拆下车架上的放油螺栓,拆下发动机左曲轴箱上的放油螺栓；拆下车架上的放油螺栓,,1.0,,,,,True,True,,,True,True,6,6,7;8,,1.0,1.0,True,True,True,,True,True,True,11705,
adv_img_005,拆卸发动机时排放冷却液应该拆哪里、什么时候打开右水箱盖？,procedure,拆卸,3.2 拆卸发动机,7,hard,adjacent_continuous_image;substep_boundary,True,"根据手册第6-7页“3.2 拆卸发动机”，原文相关内容如下：
1. 排放机油
拆下 发动机左曲轴箱上的放油螺栓 ，将发动机内部机油全部放出。
拆下 车架上的放油螺栓 ，将车架内部机油全部放出。
No. 6 / 41
2. 排放冷却液
拆下 水泵盖上的放水螺栓 ，让冷却液自动流出。
当水流变小时， 打开右水箱盖 ，使发动机内剩余冷却液完全排出。
3. 松开发动机安装螺栓
依次松开以下部件的固定螺栓：
上吊片
托架
后平叉轴
具体操作顺序为：
取下 上吊片固定螺栓 1
取下 托架固定螺栓 1
取下 车架螺栓 2
取下 后平叉轴螺栓 3
4. 拆卸输出链轮组件
用一字螺丝刀将 锁止片 2 敲平 。
松开 锁止螺母 1 并依次取下：
螺母 1
锁止片 2
输出链轮 3
轴套 4
No. 7 / 41",拆下水泵盖上的放水螺栓；当水流变小时打开右水箱盖,拆下水泵盖上的放水螺栓；当水流变小时打开右水箱盖,,1.0,,,,,True,True,,,True,True,7,7,6;8,,1.0,1.0,True,True,True,,True,True,True,13395,
adv_img_006,安装发动机时放油螺栓和放水螺栓的拧紧力矩是多少？,procedure,安装,3.3 安装发动机,8,hard,opposite_action;adjacent_continuous_image;rendered_page,True,"根据手册第8页“3.3 安装发动机”，原文步骤如下：
1. 按反向顺序安装
安装顺序与拆卸顺序相反。
所有螺栓安装后， 必须使用扭力扳手校验并打紧至规定扭矩 。
2. 安装各类放油 / 放水螺栓
安装 左曲轴箱放油螺栓 、 车架放油螺栓 、 水泵盖放水螺栓 。
拧紧力矩要求 ：
放油螺栓： 25 ± 4 N·m
放水螺栓： 12 ± 1.5 N·m
3. 加注机油
从 发动机右曲轴箱盖加油口 加入：
1600 mL 机油（若未更换机油精滤芯）
1700 mL 机油（若已更换机油精滤芯）
机油规格要求：
粘度： SAE 10W-40 或 SAE 10W-50
质量等级： API SM 级或以上
4. 加注冷却液
向 右水箱 加注冷却液，直至加满。
启动发动机运行 8 ～ 10 秒后关机 。
再次向 右水箱 补液至满。
向 副水箱 加注冷却液，使液面位于 F 线与 L 线之间 。",放油螺栓25±4 N·m；放水螺栓12±1.5 N·m,放油螺栓25±4 N·m；放水螺栓12±1.5 N·m,,1.0,,,,,True,True,,,True,True,,,7;9,,1.0,1.0,True,True,True,,True,True,True,9837,
adv_img_007,拆卸凸轮轴前正时标记要怎么对齐？,procedure,拆卸,4.3 凸轮轴,11,hard,same_section_opposite_action;adjacent_continuous_image,True,"根据手册第11-12页“4.3 凸轮轴”，原文步骤如下：
1. 27.4×2.65 丙烯酸酯胶 O 型圈
13×2.8 丙烯酸酯胶 O 型圈
注意 ：气缸头盖螺栓必须 对角均匀拧松 ，防止变形。
1. 拆卸气缸头盖及相关密封件
拆下气缸头盖。
依次拆下：
M30×1.5 铝螺塞
M14×1.5 螺塞
2. 对齐正时标记
逆时针转动曲轴，使磁电机转子上 “T” 标记 前的刻线 与 M14×1.5 螺塞孔缺口的中线对齐。
此时，进、排气凸轮轴正时链轮上的刻线应与 气缸头装配面平齐 。
3. 拆卸涨紧器
参见 “ 安装涨紧器 ” 反向操作（详见下文）。
4. 拆卸凸轮轴座盖与凸轮轴
对角均匀拧松凸轮轴座盖螺栓。
取下凸轮轴座盖及凸轮轴。
No. 11 / 41
1. 正时对齐
拉紧正时链条。
逆时针转动曲轴至压缩上止点，使磁电机转子上 “T” 标记前的刻线与左曲轴箱盖上 M14×1.5 螺塞孔标记槽中线对齐。
3. 标记说明
“IN” ：进气
“EX” ：排气
“L” ：左侧
“M” ：中间",T标记前的刻线与M14×1.5螺塞孔缺口的中线对齐；进、排气凸轮轴正时链轮上的刻线应与气缸头装配面平齐,T标记前的刻线与M14×1.5螺塞孔缺口的中线对齐；进、排气凸轮轴正时链轮上的刻线应与气缸头装配面平齐,,1.0,,,,,True,True,,,True,True,11,11,12,,1.0,1.0,True,True,True,,True,True,True,12359,
adv_img_008,检查凸轮轴时要检查哪些部位？只返回检查对应图,inspection,检查,4.3 凸轮轴,12,hard,action_boundary;adjacent_continuous_image,True,"根据手册第11-12页“4.3 凸轮轴”，原文相关内容如下：
1. 拆卸气缸头盖及相关密封件
拆下气缸头盖。
依次拆下：
M30×1.5 铝螺塞
M14×1.5 螺塞
2. 27.4×2.65 丙烯酸酯胶 O 型圈
13×2.8 丙烯酸酯胶 O 型圈
注意 ：气缸头盖螺栓必须 对角均匀拧松 ，防止变形。
2. 对齐正时标记
逆时针转动曲轴，使磁电机转子上 “T” 标记 前的刻线 与 M14×1.5 螺塞孔缺口的中线对齐。
此时，进、排气凸轮轴正时链轮上的刻线应与 气缸头装配面平齐 。
3. 拆卸涨紧器
参见 “ 安装涨紧器 ” 反向操作（详见下文）。
4. 拆卸凸轮轴座盖与凸轮轴
对角均匀拧松凸轮轴座盖螺栓。
取下凸轮轴座盖及凸轮轴。
No. 11 / 41
1. 正时对齐
拉紧正时链条。
逆时针转动曲轴至压缩上止点，使磁电机转子上 “T” 标记前的刻线与左曲轴箱盖上 M14×1.5 螺塞孔标记槽中线对齐。
2. 安装顺序
先安装排气凸轮轴，再安装进气凸轮轴 。
按对应位置安装凸轮轴座盖。
3. 标记说明
“IN” ：进气
“EX” ：排气
“L” ：左侧
“M” ：中间
4. 润滑与拧紧
在以下部位涂抹适量机油：
滑动挺柱
凸轮轴颈座
凸轮轴颈
凸轮基圆
凸轮轴座盖螺栓必须对角均匀拧紧 ，防止损坏缸头或座盖。",轴颈；凸轮基圆表面,轴颈；凸轮基圆表面,,1.0,,,,,True,True,,,True,True,12,11;12,11;13,11,1.0,0.5,False,True,True,,False,True,False,7536,
adv_img_009,安装涨紧器时顶杆自锁和释放分别怎么做？,procedure,安装,4.4 涨紧器,13,hard,section_boundary;adjacent_continuous_image,True,"根据手册第13页“4.4 涨紧器”，原文步骤如下：
1. 预压涨紧器
松开并取下 M6×10 顶销螺栓（件号 25 ）。
用手压住涨紧器顶杆，用一字螺丝刀从背部螺纹孔插入， 顺时针 扭紧涨紧器螺杆，直至顶杆 自锁 。
2. 安装本体
套入涨紧器垫片。
将涨紧器及垫片装入气缸涨紧器安装位。
旋入并拧紧两个 M6×30 六角法兰面螺栓（件号 1 ） 。
3. 释放自锁并锁紧
用一字螺丝刀 逆时针 扭动涨紧器螺杆，使顶杆自动弹出并顶住涨紧条。
旋入 M6×10 顶销螺栓（带铜垫片，件号 25 ）， 拧紧至 12 N·m 。
4. 对齐
转动曲轴两圈，使磁电机转子 “T” 标记前的刻线与左曲轴箱盖上 M14×1.5 螺塞孔标记槽中线对齐，此时凸轮轴正时链轮上的刻线
与气缸头装配面平齐。",顺时针扭紧涨紧器螺杆直至顶杆自锁；逆时针扭动涨紧器螺杆使顶杆自动弹出,顺时针扭紧涨紧器螺杆直至顶杆自锁；逆时针扭动涨紧器螺杆使顶杆自动弹出,,1.0,,,,,True,True,,,True,True,13,13,12;14,,1.0,1.0,True,True,True,,True,True,True,11882,
adv_img_010,测量气门间隙时塞尺插在哪里？,inspection,测量,4.6 气门间隙,14,hard,adjacent_continuous_image;substep_boundary,True,"根据手册第15页“4.6 气门间隙”，原文相关内容如下：
1. 表格：第15页表格
气门类型 | 标准间隙范围
进气门 | 0.13～0.20 mm
排气门 | 0.20～0.30 mm
2. 表格：第15页表格
气门类型=进气门；标准间隙范围=0.13～0.20 mm
3. 表格：第15页表格
气门类型=排气门；标准间隙范围=0.20～0.30 mm
2. 取下滑动挺柱与气门间隙调整垫片。
3. 根据实测间隙与标准值的偏差， 更换对应厚度的调整垫片 （垫片上数字即为厚度值，单位 mm ）。
注意 ：滑动挺柱、调整垫片与气门为 一对一匹配 ，严禁混用。
6. 注意 ：滑动挺柱、调整垫片与气门为 一对一匹配 ，严禁混用。",将塞尺插入凸轮轴基圆与滑动挺柱之间测量间隙,,将塞尺插入凸轮轴基圆与滑动挺柱之间测量间隙,0.0,,,,,True,True,,,True,False,14,15,13;15,15,0.0,0.0,False,False,True,,False,True,False,9804,
