id,query,task_type,intent_action,target_section,target_pages,difficulty,trap_type,answerable,generated_answer,required_nuggets,matched_required_nuggets,missing_required_nuggets,required_nugget_recall,optional_nuggets,matched_optional_nuggets,forbidden_claims,hit_forbidden_claims,forbidden_claim_pass,refusal_pass,expected_step_order,step_positions,procedure_order_pass,grounding_pass,expected_image_pages,retrieved_image_pages,forbidden_image_pages,forbidden_image_hit_pages,image_recall,image_precision,forbidden_image_pass,image_order_pass,step_image_binding_pass,step_image_binding_failures,image_pass,image_eval_required,final_pass,latency_ms,error
manual_e2e_001,火花塞间隙标准是多少？,spec,检查,1.2 检查火花塞,3,easy,numeric_exactness,True,"根据手册第3页“1.2 检查火花塞”，原文相关内容如下：
1. 检查火花塞螺纹以及中心电极处，若有损坏或变形，则应更换火花塞。
2. 用塞尺测量火花塞间隙 a ，超出范围须更换火花塞。
间隙标准值 ： 0.7 ～ 0.9 mm",火花塞间隙标准值为0.7～0.9 mm,火花塞间隙标准值为0.7～0.9 mm,,1.0,,,0.6～0.8 mm；0.8～1.0 mm；请提供车型,,True,True,,,True,True,,3,,,0.0,0.0,True,True,True,,True,False,True,9112,
manual_e2e_002,安装火花塞时应该怎么预紧和拧紧？,procedure,安装,1.3 安装火花塞,3,medium,procedure_order;numeric_exactness,True,"根据手册第3页“1.3 安装火花塞”，原文步骤如下：
1. 将火花塞放入气缸头，套上火花塞专用套筒，
顺时针转动 3 圈预紧 ，
然后再转动 1/4 圈 ，
或使用定扭扳手将其拧紧至 20 ± 2 N·m 。
2. 用尖嘴钳将高压帽套进火花塞并用力往下压紧。",顺时针转动3圈预紧；再转动1/4圈；或使用定扭扳手拧紧至20±2 N·m；用尖嘴钳将高压帽套进火花塞并压紧,顺时针转动3圈预紧；再转动1/4圈；或使用定扭扳手拧紧至20±2 N·m；用尖嘴钳将高压帽套进火花塞并压紧,,1.0,,,逆时针预紧；30 N·m；冷却30分钟,,True,True,将火花塞放入气缸头；顺时针转动3圈预紧；再转动1/4圈；将高压帽套进火花塞并压紧,21;39;50;81,True,True,3,3,,,1.0,1.0,True,True,True,,True,True,True,12145,
manual_e2e_003,压缩压力标准范围是多少？,spec,测量,1.4 测量压缩压力,3,medium,multi_value_exactness,True,"根据手册第3页“1.4 测量压缩压力”，原文相关内容如下：
1. 启动发动机，预热几分钟，然后熄火。
2. 拆卸火花塞。
注意 ：在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。
3. 注意 ：在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。
4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。
5. 用火花塞专用工具（ 16 mm ）安装火花塞。",1300～1900 kPa（转速1500 r/min）；500～900 kPa（转速540 r/min）,1300～1900 kPa（转速1500 r/min）；500～900 kPa（转速540 r/min）,,1.0,,,MPa；只给一个压力范围；请提供品牌型号,,True,True,,,True,True,,3,,,0.0,0.0,True,True,True,,True,False,True,12235,
manual_e2e_004,压缩压力低于最小值时怎么判断是不是活塞环问题？,diagnosis,判断,1.4 测量压缩压力,3,hard,diagnosis_branching,True,"根据手册第3页“1.4 测量压缩压力”，原文相关内容如下：
1. 启动发动机，预热几分钟，然后熄火。
2. 拆卸火花塞。
注意 ：在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。
3. 注意 ：在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。
4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。
5. 用火花塞专用工具（ 16 mm ）安装火花塞。",往火花塞孔倒一勺机油并再次测量；若压力比加机油前高，则活塞环磨损或损坏，需要更换；若压力等于加机油前，则活塞、气门、气缸头垫片可能有缺陷,往火花塞孔倒一勺机油并再次测量；若压力比加机油前高，则活塞环磨损或损坏，需要更换；若压力等于加机油前，则活塞、气门、气缸头垫片可能有缺陷,,1.0,,,直接更换气缸；压力低一定是活塞环问题,,True,True,往火花塞孔倒一勺机油并再次测量；若压力比加机油前高；若压力等于加机油前,260;275;296,True,True,,3,,,0.0,0.0,True,True,True,,True,False,True,16462,
manual_e2e_005,起动电机装配部件清单有哪些？,inventory,清单,2.1 起动电机装配部件清单,4,medium,inventory_completeness;adjacent_page,True,"根据手册第4页“2.1 起动电机装配部件清单”，起动电机装配所用部件如下（按序号排列）：
1. 涨紧器；数量：1；备注：8# T 杆或套筒
2. 正极线螺母；数量：1；备注：10# 扳手或套筒 / 5 ± 1.5 N·m；扭矩：5±1.5 N·m
3. M6×30 六角法兰面螺栓（环保彩锌）；数量：2；备注：8# T 杆或套筒 / 12 ± 1.5 N·m；扭矩：12±1.5 N·m
4. 起动电机；数量：1；备注：—",涨紧器，数量1；正极线螺母，数量1；M6×30六角法兰面螺栓，数量2；起动电机，数量1；正极线螺母扭矩5±1.5 N·m；M6×30螺栓扭矩12±1.5 N·m,涨紧器，数量1；正极线螺母，数量1；M6×30六角法兰面螺栓，数量2；起动电机，数量1；正极线螺母扭矩5±1.5 N·m；M6×30螺栓扭矩12±1.5 N·m,,1.0,,,负极线螺母数量1；起动电机数量2；未提供装配部件清单,,True,True,,,True,True,4,4,5,,1.0,1.0,True,True,True,,True,True,True,8842,
manual_e2e_006,起动电机怎么拆卸？,procedure,拆卸,2.2 拆卸起动电机,4,medium,opposite_action;procedure_order,True,"根据手册第4页“2.2 拆卸起动电机”，原文步骤如下：
1. 拆卸涨紧器
拆下 M6×10 顶销螺栓 和 铜垫片。
拆下 2 个 M6×30 六角法兰面螺栓 。
提示 ：详情请参照 “ 气缸头 ” 章节。
2. 断开正极线路
掀起起动电机正极线橡胶帽。
拆下 正极线螺母 ，并取下垫片和正极线。
3. 拆卸固定螺栓
拆下固定起动电机的 2 个 M6×30 六角法兰面螺栓（件号 3 ） 。
4. 取出起动电机
取下起动电机。
提示 ：若较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。",拆卸涨紧器；断开正极线路；拆卸固定起动电机的2个M6×30六角法兰面螺栓；取下起动电机；若较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸,拆卸涨紧器；断开正极线路；拆卸固定起动电机的2个M6×30六角法兰面螺栓；取下起动电机；若较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸,,1.0,,,先连接负极线；安装涨紧器,,True,True,拆卸涨紧器；断开正极线路；拆卸固定螺栓；取出起动电机,22;71;106;139,True,True,4,4,5,,1.0,1.0,True,True,True,,True,True,True,13283,
manual_e2e_007,安装起动电机的步骤是什么？,procedure,安装,2.3 安装起动电机,5,hard,opposite_action;step_image_binding,True,"根据手册第5页“2.3 安装起动电机”，原文步骤如下：
1. 检查起动电机状态
检查起动电机轴是否转动灵活。
若不灵活 → 更换起动电机 。
2. 安装本体
将起动电机头部对准左盖孔，适当摇晃并缓慢推入，
直至起动电机的两个螺栓孔与箱体上的螺纹孔对齐。
3. 连接负极线
按照图示安装起动电机 负极线 。
4. 连接正极线
安装 正极线、垫片 和 螺母 。
5. 安装涨紧器
提示 ：详细步骤请参照 “ 气缸头 → 安装涨紧器 ” 。",检查起动电机轴是否转动灵活，不灵活则更换；将起动电机头部对准左盖孔并推入至螺栓孔对齐；按照图示安装起动电机负极线；安装正极线、垫片和螺母；安装涨紧器,检查起动电机轴是否转动灵活，不灵活则更换；将起动电机头部对准左盖孔并推入至螺栓孔对齐；按照图示安装起动电机负极线；安装正极线、垫片和螺母；安装涨紧器,,1.0,,,先连接正极线再连接负极线；拆下正极线螺母,,True,True,检查起动电机状态；安装本体；连接负极线；连接正极线；安装涨紧器,22;55;103;122;138,True,True,5,5,4,,1.0,1.0,True,True,True,,True,True,True,12535,
manual_e2e_008,拆卸发动机前排放机油和冷却液怎么做？,procedure,拆卸,3.2 拆卸发动机,6;7,hard,cross_page;procedure_order;step_image_binding,True,"根据手册第6-7页“3.2 拆卸发动机”，原文步骤如下：
1. 排放机油
拆下 发动机左曲轴箱上的放油螺栓 ，将发动机内部机油全部放出。
拆下 车架上的放油螺栓 ，将车架内部机油全部放出。
2. 排放冷却液
拆下 水泵盖上的放水螺栓 ，让冷却液自动流出。
当水流变小时， 打开右水箱盖 ，使发动机内剩余冷却液完全排出。
3. 松开发动机安装螺栓
依次松开以下部件的固定螺栓：
上吊片
托架
后平叉轴
具体操作顺序为：
取下 上吊片固定螺栓 1
取下 托架固定螺栓 1
取下 车架螺栓 2
取下 后平叉轴螺栓 3
4. 拆卸输出链轮组件
用一字螺丝刀将 锁止片 2 敲平 。
松开 锁止螺母 1 并依次取下：
螺母 1
锁止片 2
输出链轮 3
轴套 4",拆下发动机左曲轴箱上的放油螺栓并放出发动机内部机油；拆下车架上的放油螺栓并放出车架内部机油；拆下水泵盖上的放水螺栓让冷却液自动流出；当水流变小时打开右水箱盖，使剩余冷却液完全排出,拆下发动机左曲轴箱上的放油螺栓并放出发动机内部机油；拆下车架上的放油螺栓并放出车架内部机油；拆下水泵盖上的放水螺栓让冷却液自动流出；当水流变小时打开右水箱盖，使剩余冷却液完全排出,,1.0,,,先打开右水箱盖再拆放水螺栓；只需要排放机油,,True,True,拆下发动机左曲轴箱上的放油螺栓；拆下车架上的放油螺栓；拆下水泵盖上的放水螺栓；打开右水箱盖,27;54;81;106,True,True,6;7,6;7,8,,1.0,1.0,True,True,True,,True,True,True,15653,
manual_e2e_009,安装发动机后机油和冷却液加多少？,procedure,安装,3.3 安装发动机,8,hard,multi_value_exactness;no_embedded_image_on_page,True,"根据手册第8页“3.3 安装发动机”，原文步骤如下：
1. 按反向顺序安装
安装顺序与拆卸顺序相反。
所有螺栓安装后， 必须使用扭力扳手校验并打紧至规定扭矩 。
2. 安装各类放油 / 放水螺栓
安装 左曲轴箱放油螺栓 、 车架放油螺栓 、 水泵盖放水螺栓 。
拧紧力矩要求 ：
放油螺栓： 25 ± 4 N·m
放水螺栓： 12 ± 1.5 N·m
3. 加注机油
从 发动机右曲轴箱盖加油口 加入：
1600 mL 机油（若未更换机油精滤芯）
1700 mL 机油（若已更换机油精滤芯）
机油规格要求：
粘度： SAE 10W-40 或 SAE 10W-50
质量等级： API SM 级或以上
4. 加注冷却液
向 右水箱 加注冷却液，直至加满。
启动发动机运行 8 ～ 10 秒后关机 。
再次向 右水箱 补液至满。
向 副水箱 加注冷却液，使液面位于 F 线与 L 线之间 。",未更换机油精滤芯时加入1600 mL机油；已更换机油精滤芯时加入1700 mL机油；机油粘度SAE 10W-40或SAE 10W-50；质量等级API SM级或以上；右水箱加满冷却液，发动机运行8～10秒后关机并再次补满；副水箱液面位于F线与L线之间,未更换机油精滤芯时加入1600 mL机油；已更换机油精滤芯时加入1700 mL机油；机油粘度SAE 10W-40或SAE 10W-50；质量等级API SM级或以上；右水箱加满冷却液，发动机运行8～10秒后关机并再次补满；副水箱液面位于F线与L线之间,,1.0,,,加入1500 mL机油；API SL即可；运行30分钟,,True,True,,,True,True,,,,,1.0,1.0,True,True,True,,True,False,True,12594,
manual_e2e_010,气缸头装配部件清单里M10盖形法兰面螺母的数量和扭矩是多少？,inventory,清单,4.1 气缸头装配部件清单,9,medium,inventory_exactness,True,"根据手册第9页“4.1 气缸头装配部件清单”，与问题匹配的清单条目如下：
10. M10×1.25 盖形法兰面螺母（12级/氧化黑）；数量：4；备注：14# 套筒及扭力扳手 / 60 ± 5 N·m；扭矩：60±5 N·m",M10×1.25盖形法兰面螺母数量4；14#套筒及扭力扳手；60±5 N·m,M10×1.25盖形法兰面螺母数量4；14#套筒及扭力扳手；60±5 N·m,,1.0,,,数量2；65±5 N·m；未提供扭矩,,True,True,,,True,True,9,9,,,1.0,1.0,True,True,True,,True,True,True,6836,
manual_e2e_011,气缸头气门部装配部件清单里进气门和排气门数量是多少？,inventory,清单,4.2 气缸头气门部装配部件清单,10,medium,inventory_specific_rows,True,"根据手册第10页“4.2 气缸头气门部装配部件清单”，与问题匹配的清单条目如下：
9. 进气门；数量：2；备注：—
10. 排气门；数量：2；备注：—",进气门数量2；排气门数量2,进气门数量2；排气门数量2,,1.0,,,进气门数量4；排气门数量4；未列出气门数量,,True,True,,,True,True,10,10,,,1.0,1.0,True,True,True,,True,True,True,7095,
