id,question,golden_chunk_ids,retrieved_chunk_ids,hit_top1,hit_top3,hit_top5,rank,skipped_for_recall,top_k,chapter,question_type,difficulty,answerable,golden_answer,top1_content,retrieved_scores
case_001,火花塞间隙标准是多少？,618bea68:02:txt:0001,618bea68:12:tbl:0001;618bea68:12:tbl:0002;618bea68:31:tbl:0003;618bea68:12:tbl:0000;618bea68:31:tbl:0002;618bea68:12:img:0000;618bea68:31:tbl:0000;618bea68:31:tbl:0004;618bea68:12:txt:0021;618bea68:31:tbl:0001;618bea68:12:txt:0000,False,False,False,,False,5,火花塞,spec,easy,True,火花塞间隙标准值是 0.7 到 0.9 mm。,"表格：第15页表格
气门类型=进气门；标准间隙范围=0.13～0.20 mm",0.683280;0.678354;0.576083;0.673975;0.563647;0.628354;0.526083;0.526083;0.623975;0.513647;0.633280
case_002,火花塞安装时拧紧力矩是多少？,618bea68:02:txt:0002,618bea68:26:tbl:0003;618bea68:26:tbl:0002;618bea68:26:tbl:0001;618bea68:03:tbl:0002;618bea68:06:tbl:0012;618bea68:26:tbl:0000;618bea68:26:tbl:0004;618bea68:03:tbl:0000;618bea68:03:tbl:0001;618bea68:03:tbl:0003;618bea68:06:tbl:0000,False,False,False,,False,5,火花塞,torque,easy,True,火花塞可使用定扭扳手拧紧至 20±2 N·m。,"表格：第34页表格
序号=3；料件名称=M6×90 六角法兰面螺栓（环保彩锌）；数量=2；备注=8# T杆或套筒
预紧力 5±1 N·m
校正力 12±1.5 N·m",0.571528;0.562896;0.559238;0.547408;0.541745;0.521528;0.521528;0.497408;0.497408;0.497408;0.491745
case_003,安装火花塞前需要先预紧几圈？,618bea68:02:txt:0002,618bea68:02:txt:0002;618bea68:02:txt:0009;618bea68:02:txt:0006;618bea68:01:txt:0012;618bea68:01:txt:0026;618bea68:02:img:0000;618bea68:02:txt:0007;618bea68:02:txt:0000;618bea68:02:txt:0003;618bea68:02:txt:0004;618bea68:02:txt:0005,True,True,True,1,False,5,火花塞,procedure,easy,True,将火花塞放入气缸头后顺时针转动 3 圈预紧，然后再转动 1/4 圈。,"1. 将火花塞放入气缸头，套上火花塞专用套筒，
顺时针转动 3 圈预紧 ，
然后再转动 1/4 圈 ，
或使用定扭扳手将其拧紧至 20 ± 2 N·m 。",0.753539;0.694776;0.686889;0.665784;0.665784;0.644776;0.636889;0.703539;0.703539;0.703539;0.703539
case_004,拆卸火花塞前要注意什么？,618bea68:02:txt:0006,618bea68:02:txt:0006;618bea68:01:txt:0012;618bea68:01:txt:0026;618bea68:01:txt:0027;618bea68:02:txt:0007;618bea68:01:txt:0011;618bea68:01:txt:0025;618bea68:01:txt:0028;618bea68:02:txt:0000;618bea68:02:txt:0002;618bea68:02:txt:0003,True,True,True,1,False,5,火花塞,safety,easy,True,拆卸火花塞前要确保火花塞孔及其周围没有灰尘。,"2. 拆卸火花塞。
注意 ：在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。",0.788106;0.758803;0.758803;0.717533;0.807419;0.708803;0.708803;0.667533;0.738106;0.738106;0.738106
case_005,压缩压力的标准范围是多少？,618bea68:02:txt:0008,618bea68:12:tbl:0002;618bea68:12:tbl:0001;618bea68:12:tbl:0000;618bea68:31:tbl:0001;618bea68:19:tbl:0019;618bea68:12:img:0000;618bea68:12:txt:0021;618bea68:31:tbl:0000;618bea68:31:tbl:0002;618bea68:19:tbl:0005;618bea68:19:tbl:0018,False,False,False,,False,5,火花塞,spec,medium,True,压缩压力标准范围为 1300 到 1900 kPa（1500 r/min）或 500 到 900 kPa（540 r/min）。,"表格：第15页表格
气门类型=排气门；标准间隙范围=0.20～0.30 mm",0.651042;0.640778;0.630832;0.494625;0.575092;0.601042;0.580832;0.444625;0.444625;0.525092;0.525092
case_006,压缩压力高于最大值时应检查哪里？,618bea68:02:txt:0008,618bea68:31:tbl:0001;618bea68:31:tbl:0002;618bea68:20:tbl:0008;618bea68:12:tbl:0002;618bea68:31:tbl:0003;618bea68:31:tbl:0000;618bea68:20:tbl:0000;618bea68:20:tbl:0007;618bea68:20:tbl:0009;618bea68:12:tbl:0000;618bea68:12:tbl:0001,False,False,False,,False,5,火花塞,diagnosis,medium,True,应检查气缸头、气门表面和活塞顶部是否有积碳，如有则清除积碳。,"表格：第39页表格
检查项目=1.曲轴轴向跳动；技术要求=≤ 0.03 mm",0.474449;0.473555;0.460816;0.458211;0.456362;0.424449;0.410816;0.410816;0.410816;0.408211;0.408211
case_007,压缩压力低于最小值时怎么判断是不是活塞环问题？,618bea68:02:txt:0008,618bea68:14:tbl:0005;618bea68:31:tbl:0003;618bea68:31:tbl:0001;618bea68:31:tbl:0002;618bea68:12:tbl:0001;618bea68:14:tbl:0000;618bea68:14:tbl:0004;618bea68:14:img:0000;618bea68:31:tbl:0000;618bea68:31:tbl:0004;618bea68:12:tbl:0000,False,False,False,,False,5,火花塞,diagnosis,hard,True,往火花塞孔倒一勺机油并再次测量；如果压力比加机油前高，说明活塞环磨损或损坏。,"表格：第17页表格
序号=5；零件名称=活塞；数量=1",0.506758;0.543283;0.539713;0.536407;0.532307;0.456758;0.456758;0.456758;0.493283;0.493283;0.482307
case_008,起动电机较难取下时怎么办？,618bea68:03:txt:0011,618bea68:03:txt:0011;618bea68:27:txt:0002;618bea68:03:txt:0008;618bea68:03:txt:0001;618bea68:03:txt:0004;618bea68:03:txt:0010;618bea68:03:tbl:0000;618bea68:27:txt:0001;618bea68:27:tbl:0000;618bea68:03:txt:0007;618bea68:03:txt:0000,True,True,True,1,False,5,起动电机,procedure,easy,True,如果起动电机较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。,"4. 取出起动电机
取下起动电机。
提示 ：若较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。
No. 4 / 41",0.783027;0.729792;0.722883;0.716116;0.716116;0.733027;0.733027;0.679792;0.679792;0.672883;0.733027
case_009,起动电机轴转动不灵活时怎么处理？,618bea68:04:txt:0001,618bea68:04:txt:0001;618bea68:24:txt:0012;618bea68:24:txt:0013;618bea68:27:txt:0002;618bea68:03:txt:0008;618bea68:04:txt:0000;618bea68:04:txt:0002;618bea68:24:txt:0011;618bea68:24:txt:0014;618bea68:27:txt:0001;618bea68:27:tbl:0000,True,True,True,1,False,5,起动电机,inspection,easy,True,检查起动电机轴是否转动灵活；若不灵活，应更换起动电机。,"1. 检查起动电机状态
检查起动电机轴是否转动灵活。
若不灵活 → 更换起动电机 。",0.783512;0.692140;0.675215;0.659801;0.659700;0.733512;0.733512;0.642140;0.625215;0.609801;0.609801
case_010,安装起动电机本体时要对齐什么？,618bea68:04:txt:0003,618bea68:04:txt:0003;618bea68:04:txt:0000;618bea68:04:txt:0002;618bea68:04:txt:0004;618bea68:04:txt:0006;618bea68:04:txt:0001;618bea68:04:txt:0005;618bea68:04:txt:0007,True,True,True,1,False,5,起动电机,procedure,easy,True,起动电机头部要对准左盖孔，推入后两个螺栓孔需与箱体螺纹孔对齐。,"2. 安装本体
将起动电机头部对准左盖孔，适当摇晃并缓慢推入，
直至起动电机的两个螺栓孔与箱体上的螺纹孔对齐。",0.758566;0.735679;0.735679;0.735679;0.735679;0.685679;0.685679;0.685679
