id,question,golden_chunk_ids,retrieved_chunk_ids,hit_top1,hit_top3,hit_top5,rank,skipped_for_recall,top_k,chapter,question_type,difficulty,answerable,golden_answer,top1_content,retrieved_scores
case_001,火花塞间隙标准是多少？,618bea68:02:txt:0001,618bea68:26:tbl:0011;618bea68:27:tbl:0007;618bea68:19:tbl:0023;618bea68:07:tbl:0005;618bea68:02:txt:0001;618bea68:26:tbl:0000;618bea68:26:tbl:0010;618bea68:26:tbl:0012;618bea68:27:tbl:0000;618bea68:27:tbl:0006;618bea68:27:tbl:0008,False,False,True,5,False,5,火花塞,spec,easy,True,火花塞间隙标准值是 0.7 到 0.9 mm。,"表格：第34页表格
序号=11；料件名称=φ8×14 空心定位销；数量=2",0.441299;0.440302;0.438999;0.484181;0.786165;0.391299;0.391299;0.391299;0.390302;0.390302;0.390302
case_002,火花塞安装时拧紧力矩是多少？,618bea68:02:txt:0002,618bea68:02:img:0000;618bea68:02:txt:0002;618bea68:02:txt:0009;618bea68:01:txt:0028;618bea68:06:tbl:0010;618bea68:02:txt:0000;618bea68:02:txt:0001;618bea68:02:txt:0004;618bea68:02:txt:0008;618bea68:02:txt:0007;618bea68:01:txt:0015,False,True,True,2,False,5,火花塞,torque,easy,True,火花塞可使用定扭扳手拧紧至 20±2 N·m。,"1.2 检查火花塞。相关上下文：摩托车发动机维修手册
1.2 检查火花塞
1. 检查火花塞螺纹以及中心电极处，若有损坏或变形，则应更换火花塞。
2. 用塞尺测量火花塞间隙 a，超出范围须更换火花塞。
间隙标准值：0.7～0.9 mm
1.3 安装火花塞
1. 将火花塞放入气缸头，套上火花塞专用套筒，
顺时针转动 3 圈预紧，
然后再转动 1/4 圈，
或使用定扭扳手将其拧紧至 20 ± 2 N·m。
2. 用尖嘴钳将高压帽套进火花塞并用力往下压紧。
1.4 测量压缩压力
1. 启动发动机，预热几分钟，然后熄火。
2. 拆卸火花塞。
注意：在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。
3. 安装压力表。
4. 测量压缩压力 范围：
1300～1900 kPa（转速：1500 r/min）
500～900 kPa（转速：540 r/min）
测量步骤：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析：
若压缩压力高于最大值：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值：
往火花塞孔倒一勺机油",0.638947;0.752105;0.693144;0.635610;0.533196;0.588947;0.588947;0.588947;0.588947;0.588947;0.585610
case_003,安装火花塞前需要先预紧几圈？,618bea68:02:txt:0002,618bea68:02:img:0000;618bea68:02:txt:0002;618bea68:02:txt:0009;618bea68:02:txt:0003;618bea68:01:txt:0026;618bea68:02:txt:0000;618bea68:02:txt:0001;618bea68:02:txt:0004;618bea68:02:txt:0008;618bea68:02:txt:0007;618bea68:01:txt:0015,False,True,True,2,False,5,火花塞,procedure,easy,True,将火花塞放入气缸头后顺时针转动 3 圈预紧，然后再转动 1/4 圈。,"1.2 检查火花塞。相关上下文：摩托车发动机维修手册
1.2 检查火花塞
1. 检查火花塞螺纹以及中心电极处，若有损坏或变形，则应更换火花塞。
2. 用塞尺测量火花塞间隙 a，超出范围须更换火花塞。
间隙标准值：0.7～0.9 mm
1.3 安装火花塞
1. 将火花塞放入气缸头，套上火花塞专用套筒，
顺时针转动 3 圈预紧，
然后再转动 1/4 圈，
或使用定扭扳手将其拧紧至 20 ± 2 N·m。
2. 用尖嘴钳将高压帽套进火花塞并用力往下压紧。
1.4 测量压缩压力
1. 启动发动机，预热几分钟，然后熄火。
2. 拆卸火花塞。
注意：在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。
3. 安装压力表。
4. 测量压缩压力 范围：
1300～1900 kPa（转速：1500 r/min）
500～900 kPa（转速：540 r/min）
测量步骤：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析：
若压缩压力高于最大值：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值：
往火花塞孔倒一勺机油",0.651065;0.753539;0.694776;0.660878;0.665784;0.601065;0.601065;0.601065;0.601065;0.601065;0.615784
case_004,拆卸火花塞前要注意什么？,618bea68:02:txt:0006,618bea68:02:txt:0007;618bea68:02:txt:0006;618bea68:02:img:0000;618bea68:01:txt:0028;618bea68:01:txt:0027;618bea68:02:txt:0009;618bea68:02:txt:0000;618bea68:02:txt:0002;618bea68:02:txt:0004;618bea68:02:txt:0008;618bea68:01:txt:0015,False,True,True,2,False,5,火花塞,safety,easy,True,拆卸火花塞前要确保火花塞孔及其周围没有灰尘。,注意 ：在拆卸火花塞之前要确保火花塞孔及其周围没有灰尘。,0.807419;0.788106;0.619358;0.714657;0.717533;0.569358;0.569358;0.757419;0.757419;0.757419;0.664657
case_005,压缩压力的标准范围是多少？,618bea68:02:txt:0008,618bea68:02:txt:0008;618bea68:02:img:0000;618bea68:02:txt:0004;618bea68:12:tbl:0001;618bea68:12:tbl:0002;618bea68:02:txt:0009;618bea68:02:txt:0000;618bea68:02:txt:0002;618bea68:02:txt:0007;618bea68:12:txt:0000;618bea68:12:txt:0005,True,True,True,1,False,5,火花塞,spec,medium,True,压缩压力标准范围为 1300 到 1900 kPa（1500 r/min）或 500 到 900 kPa（540 r/min）。,"4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。",0.692872;0.531653;0.691323;0.510977;0.511717;0.481653;0.481653;0.642872;0.642872;0.460977;0.460977
case_006,压缩压力高于最大值时应检查哪里？,618bea68:02:txt:0008,618bea68:02:txt:0008;618bea68:31:tbl:0002;618bea68:31:tbl:0001;618bea68:31:tbl:0003;618bea68:31:tbl:0000;618bea68:31:tbl:0004;618bea68:31:txt:0009;618bea68:02:txt:0000;618bea68:02:txt:0002;618bea68:02:txt:0004;618bea68:02:txt:0009,True,True,True,1,False,5,火花塞,diagnosis,medium,True,应检查气缸头、气门表面和活塞顶部是否有积碳，如有则清除积碳。,"4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。",0.698759;0.473555;0.474449;0.456362;0.453800;0.406362;0.403800;0.648759;0.648759;0.648759;0.648759
case_007,压缩压力低于最小值时怎么判断是不是活塞环问题？,618bea68:02:txt:0008,618bea68:02:txt:0008;618bea68:02:img:0000;618bea68:12:txt:0004;618bea68:17:txt:0007;618bea68:15:txt:0012;618bea68:02:txt:0009;618bea68:02:txt:0000;618bea68:02:txt:0002;618bea68:02:txt:0004;618bea68:02:txt:0007;618bea68:12:txt:0000,True,True,True,1,False,5,火花塞,diagnosis,hard,True,往火花塞孔倒一勺机油并再次测量；如果压力比加机油前高，说明活塞环磨损或损坏。,"4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。",0.698815;0.609810;0.577590;0.571033;0.649023;0.559810;0.559810;0.648815;0.648815;0.648815;0.527590
case_008,起动电机较难取下时怎么办？,618bea68:03:txt:0011,618bea68:03:txt:0011;618bea68:27:txt:0002;618bea68:03:img:0000;618bea68:03:txt:0010;618bea68:03:txt:0004;618bea68:03:tbl:0000;618bea68:27:txt:0001;618bea68:27:tbl:0000;618bea68:03:tbl:0004;618bea68:03:txt:0000;618bea68:03:txt:0003,True,True,True,1,False,5,起动电机,procedure,easy,True,如果起动电机较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。,"4. 取出起动电机
取下起动电机。
提示 ：若较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。
No. 4 / 41",0.783027;0.729792;0.687321;0.716116;0.716116;0.733027;0.679792;0.679792;0.637321;0.637321;0.733027
case_009,起动电机轴转动不灵活时怎么处理？,618bea68:04:txt:0001,618bea68:04:img:0000;618bea68:04:txt:0001;618bea68:29:txt:0007;618bea68:27:txt:0002;618bea68:24:txt:0013;618bea68:04:txt:0010;618bea68:04:txt:0000;618bea68:04:txt:0002;618bea68:04:txt:0003;618bea68:04:txt:0004;618bea68:29:txt:0006,False,True,True,2,False,5,起动电机,inspection,easy,True,检查起动电机轴是否转动灵活；若不灵活，应更换起动电机。,"2.3 安装起动电机。相关上下文：摩托车发动机维修手册
2.3 安装起动电机
1. 检查起动电机状态
检查起动电机轴是否转动灵活。
若不灵活 → 更换起动电机。
2. 安装本体
将起动电机头部对准左盖孔，适当摇晃并缓慢推入，
直至起动电机的两个螺栓孔与箱体上的螺纹孔对齐。
3. 连接负极线
按照图示安装起动电机 负极线。
4. 连接正极线
安装 正极线、垫片 和 螺母。
5. 安装涨紧器
提示：详细步骤请参照“气缸头 → 安装涨紧器”。
三、发动机
3.1 发动机装配部件清单
No. 5 / 41 摩托车发动机维修手册
2.3 安装起动电机
1. 检查起动电机状态
检查起动电机轴是否转动灵活。
若不灵活 → 更换起动电机。
2. 安装本体
将起动电机头部对准左盖孔，适当摇晃并缓慢推入，
直至起动电机的两个螺栓孔与箱体上的螺纹孔对齐。
3. 连接负极线
按照图示安装起动电机 负极线。
4. 连接正极线
安装 正极线、垫片 和 螺母。
5. 安装涨紧器
提示：详细步骤请参照“气缸头 → 安装涨紧器”。
三、发动机
3.1 发动机装配部件清单
No. 5 / 41",0.637900;0.783512;0.614247;0.659801;0.675215;0.587900;0.587900;0.587900;0.587900;0.587900;0.564247
case_010,安装起动电机本体时要对齐什么？,618bea68:04:txt:0003,618bea68:04:img:0000;618bea68:04:txt:0003;618bea68:03:img:0000;618bea68:03:txt:0010;618bea68:03:txt:0004;618bea68:04:txt:0010;618bea68:04:txt:0000;618bea68:04:txt:0001;618bea68:04:txt:0002;618bea68:04:txt:0004;618bea68:03:tbl:0004,False,True,True,2,False,5,起动电机,procedure,easy,True,起动电机头部要对准左盖孔，推入后两个螺栓孔需与箱体螺纹孔对齐。,"2.3 安装起动电机。相关上下文：摩托车发动机维修手册
2.3 安装起动电机
1. 检查起动电机状态
检查起动电机轴是否转动灵活。
若不灵活 → 更换起动电机。
2. 安装本体
将起动电机头部对准左盖孔，适当摇晃并缓慢推入，
直至起动电机的两个螺栓孔与箱体上的螺纹孔对齐。
3. 连接负极线
按照图示安装起动电机 负极线。
4. 连接正极线
安装 正极线、垫片 和 螺母。
5. 安装涨紧器
提示：详细步骤请参照“气缸头 → 安装涨紧器”。
三、发动机
3.1 发动机装配部件清单
No. 5 / 41 摩托车发动机维修手册
2.3 安装起动电机
1. 检查起动电机状态
检查起动电机轴是否转动灵活。
若不灵活 → 更换起动电机。
2. 安装本体
将起动电机头部对准左盖孔，适当摇晃并缓慢推入，
直至起动电机的两个螺栓孔与箱体上的螺纹孔对齐。
3. 连接负极线
按照图示安装起动电机 负极线。
4. 连接正极线
安装 正极线、垫片 和 螺母。
5. 安装涨紧器
提示：详细步骤请参照“气缸头 → 安装涨紧器”。
三、发动机
3.1 发动机装配部件清单
No. 5 / 41",0.733895;0.758566;0.698676;0.644230;0.644230;0.683895;0.683895;0.683895;0.683895;0.683895;0.648676
