id,query,task_type,intent_action,target_section,target_pages,difficulty,trap_type,answerable,generated_answer,required_nuggets,matched_required_nuggets,missing_required_nuggets,required_nugget_recall,optional_nuggets,matched_optional_nuggets,forbidden_claims,hit_forbidden_claims,forbidden_claim_pass,refusal_pass,expected_step_order,step_positions,procedure_order_pass,grounding_pass,expected_image_pages,retrieved_image_pages,forbidden_image_pages,forbidden_image_hit_pages,image_recall,image_precision,forbidden_image_pass,image_order_pass,step_image_binding_pass,step_image_binding_failures,image_pass,image_eval_required,final_pass,latency_ms,error
adv_img_001,安装火花塞时怎么预紧和拧紧？只看这一节对应图片,procedure,安装,1.3 安装火花塞,3,hard,adjacent_continuous_image;section_boundary,True,"根据手册第3页“1.3 安装火花塞”，原文步骤如下：
1. 将火花塞放入气缸头，套上火花塞专用套筒，
顺时针转动 3 圈预紧 ，
然后再转动 1/4 圈 ，
或使用定扭扳手将其拧紧至 20 ± 2 N·m 。
2. 用尖嘴钳将高压帽套进火花塞并用力往下压紧。",顺时针转动3圈预紧；再转动1/4圈；20±2 N·m,顺时针转动3圈预紧；再转动1/4圈；20±2 N·m,,1.0,,,,,True,True,,,True,True,3,3,4,,1.0,1.0,True,True,True,,True,True,True,9474,
adv_img_002,起动电机装配部件清单里正极线螺母的数量和扭矩是多少？,inventory,清单,2.1 起动电机装配部件清单,4,hard,inventory_vs_procedure;adjacent_continuous_image,True,"根据手册第4页“2.1 起动电机装配部件清单”，与问题匹配的清单条目如下：
2. 正极线螺母；数量：1；备注：10# 扳手或套筒 / 5 ± 1.5 N·m；扭矩：5±1.5 N·m
4. 起动电机；数量：1；备注：—",正极线螺母数量1；5±1.5 N·m,正极线螺母数量1；5±1.5 N·m,,1.0,,,,,True,True,,,True,True,4,4,5,,1.0,1.0,True,True,True,,True,True,True,5150,
adv_img_003,安装起动电机时负极线应该怎么装？不要把清单图混进来,procedure,安装,2.3 安装起动电机,5,hard,procedure_vs_inventory;adjacent_continuous_image,True,"根据《摩托车发动机维修手册》第5页“2.3 安装起动电机”章节：

诊断结论：负极线安装为起动电机安装的第三步，需依据图示进行连接。

步骤一：连接负极线  
操作内容：按照手册第5页图示，将起动电机负极线正确连接至指定接线端子或搭铁位置。  
所需工具：十字螺丝刀（用于紧固接线端子螺栓）、绝缘手套（建议佩戴）。  
（安全注意：安装前须断开蓄电池负极，防止短路或电击；确认线路无破损、绝缘层完好。）

步骤二：连接正极线  
操作内容：安装正极线、垫片和螺母。  
所需工具：相应规格扳手或套筒（如M6或M8，具体以设备铭牌为准）。

说明：手册中未提供负极线接线端子的具体型号、扭矩值及图示细节；实际操作中，请务必参照该手册所配插图（page_005_img_01.png）确认走向与固定方式。若图示不可见或模糊，建议核对设备铭牌或联系原厂获取对应机型的完整安装图。",按照图示安装起动电机负极线,按照图示安装起动电机负极线,,1.0,,,,,True,True,,,True,True,5,5,4,,1.0,1.0,True,True,True,,True,True,True,9424,
adv_img_004,拆卸发动机时排放机油要拆哪两个放油螺栓？,procedure,拆卸,3.2 拆卸发动机,6,hard,adjacent_continuous_image;substep_boundary,True,"根据手册第6-7页“3.2 拆卸发动机”，原文步骤如下：
1. 排放机油
拆下 发动机左曲轴箱上的放油螺栓 ，将发动机内部机油全部放出。
拆下 车架上的放油螺栓 ，将车架内部机油全部放出。
2. 排放冷却液
拆下 水泵盖上的放水螺栓 ，让冷却液自动流出。
当水流变小时， 打开右水箱盖 ，使发动机内剩余冷却液完全排出。
3. 松开发动机安装螺栓
依次松开以下部件的固定螺栓：
上吊片
托架
后平叉轴
具体操作顺序为：
取下 上吊片固定螺栓 1
取下 托架固定螺栓 1
取下 车架螺栓 2
取下 后平叉轴螺栓 3
4. 拆卸输出链轮组件
用一字螺丝刀将 锁止片 2 敲平 。
松开 锁止螺母 1 并依次取下：
螺母 1
锁止片 2
输出链轮 3
轴套 4",拆下发动机左曲轴箱上的放油螺栓；拆下车架上的放油螺栓,拆下发动机左曲轴箱上的放油螺栓；拆下车架上的放油螺栓,,1.0,,,,,True,True,,,True,True,6,6,7;8,,1.0,1.0,True,True,True,,True,True,True,11315,
adv_img_005,拆卸发动机时排放冷却液应该拆哪里、什么时候打开右水箱盖？,procedure,拆卸,3.2 拆卸发动机,7,hard,adjacent_continuous_image;substep_boundary,True,"根据手册第6-8页“3.2 拆卸发动机”，原文相关内容如下：
1. 排放机油
拆下 发动机左曲轴箱上的放油螺栓 ，将发动机内部机油全部放出。
拆下 车架上的放油螺栓 ，将车架内部机油全部放出。
2. 排放冷却液
拆下 水泵盖上的放水螺栓 ，让冷却液自动流出。
当水流变小时， 打开右水箱盖 ，使发动机内剩余冷却液完全排出。
3. 松开发动机安装螺栓
依次松开以下部件的固定螺栓：
上吊片
托架
后平叉轴
具体操作顺序为：
取下 上吊片固定螺栓 1
取下 托架固定螺栓 1
取下 车架螺栓 2
取下 后平叉轴螺栓 3
4. 拆卸输出链轮组件
用一字螺丝刀将 锁止片 2 敲平 。
松开 锁止螺母 1 并依次取下：
螺母 1
锁止片 2
输出链轮 3
轴套 4
5. 锁止螺母拧紧力矩 ： 95 ± 5 N·m
所需工具 ： 27# 套筒",拆下水泵盖上的放水螺栓；当水流变小时打开右水箱盖,拆下水泵盖上的放水螺栓；当水流变小时打开右水箱盖,,1.0,,,,,True,True,,,True,True,7,7,6;8,,1.0,1.0,True,True,True,,True,True,True,13114,
adv_img_006,安装发动机时放油螺栓和放水螺栓的拧紧力矩是多少？,procedure,安装,3.3 安装发动机,8,hard,opposite_action;adjacent_continuous_image;rendered_page,True,"根据手册第8页“3.3 安装发动机”，原文步骤如下：
1. 按反向顺序安装
安装顺序与拆卸顺序相反。
所有螺栓安装后， 必须使用扭力扳手校验并打紧至规定扭矩 。
2. 安装各类放油 / 放水螺栓
安装 左曲轴箱放油螺栓 、 车架放油螺栓 、 水泵盖放水螺栓 。
拧紧力矩要求 ：
放油螺栓： 25 ± 4 N·m
放水螺栓： 12 ± 1.5 N·m
3. 加注机油
从 发动机右曲轴箱盖加油口 加入：
1600 mL 机油（若未更换机油精滤芯）
1700 mL 机油（若已更换机油精滤芯）
机油规格要求：
粘度： SAE 10W-40 或 SAE 10W-50
质量等级： API SM 级或以上
4. 加注冷却液
向 右水箱 加注冷却液，直至加满。
启动发动机运行 8 ～ 10 秒后关机 。
再次向 右水箱 补液至满。
向 副水箱 加注冷却液，使液面位于 F 线与 L 线之间 。",放油螺栓25±4 N·m；放水螺栓12±1.5 N·m,放油螺栓25±4 N·m；放水螺栓12±1.5 N·m,,1.0,,,,,True,True,,,True,True,,,7;9,,1.0,1.0,True,True,True,,True,True,True,7868,
adv_img_007,拆卸凸轮轴前正时标记要怎么对齐？,procedure,拆卸,4.3 凸轮轴,11,hard,same_section_opposite_action;adjacent_continuous_image,True,"根据手册第11-12页“4.2 气缸头气门部装配部件清单”，原文步骤如下：
1. 提示 ：
拆卸气门时， 4 组气门必须分别标记 ，确保能装回原位置，避免混装影响配气相位与密封性能。
气门弹簧为双弹簧结构（内 + 外），装配时注意方向与顺序。
拆装气门锁夹时建议使用专用工具，防止弹簧突然弹出造成损伤。
4.3 凸轮轴
拆卸凸轮轴
2. 27.4×2.65 丙烯酸酯胶 O 型圈
13×2.8 丙烯酸酯胶 O 型圈
注意 ：气缸头盖螺栓必须 对角均匀拧松 ，防止变形。
1. 拆卸气缸头盖及相关密封件
拆下气缸头盖。
依次拆下：
M30×1.5 铝螺塞
M14×1.5 螺塞
2. 对齐正时标记
逆时针转动曲轴，使磁电机转子上 “T” 标记 前的刻线 与 M14×1.5 螺塞孔缺口的中线对齐。
此时，进、排气凸轮轴正时链轮上的刻线应与 气缸头装配面平齐 。
3. 拆卸涨紧器
参见 “ 安装涨紧器 ” 反向操作（详见下文）。
4. 拆卸凸轮轴座盖与凸轮轴
对角均匀拧松凸轮轴座盖螺栓。
取下凸轮轴座盖及凸轮轴。
7. a. 座盖定位销必须放回气缸头对应孔位，不得错放。
b. 先取下进气凸轮轴，再取下排气凸轮轴 。
检查凸轮轴
分别检查进气与排气凸轮轴的：
轴颈
凸轮基圆表面
若存在 磨损、腐蚀或划伤 ，应更换相应凸轮轴。
安装凸轮轴
1. 正时对齐
拉紧正时链条。
逆时针转动曲轴至压缩上止点，使磁电机转子上 “T” 标记前的刻线与左曲轴箱盖上 M14×1.5 螺塞孔标记槽中线对齐。
3. 标记说明
“IN” ：进气
“EX” ：排气
“L” ：左侧
“M” ：中间",T标记前的刻线与M14×1.5螺塞孔缺口的中线对齐；进、排气凸轮轴正时链轮上的刻线应与气缸头装配面平齐,T标记前的刻线与M14×1.5螺塞孔缺口的中线对齐；进、排气凸轮轴正时链轮上的刻线应与气缸头装配面平齐,,1.0,,,,,True,True,,,True,True,11,11,12,,1.0,1.0,True,True,True,,True,True,True,18247,
adv_img_008,检查凸轮轴时要检查哪些部位？只返回检查对应图,inspection,检查,4.3 凸轮轴,12,hard,action_boundary;adjacent_continuous_image,True,"根据手册第12页“4.3 凸轮轴”，原文相关内容如下：
1. 检查凸轮轴
分别检查进气与排气凸轮轴的：
轴颈
凸轮基圆表面
若存在 磨损、腐蚀或划伤 ，应更换相应凸轮轴。",轴颈；凸轮基圆表面,轴颈；凸轮基圆表面,,1.0,,,,,True,True,,,True,True,12,12,11;13,,1.0,1.0,True,True,True,,True,True,True,6029,
adv_img_009,安装涨紧器时顶杆自锁和释放分别怎么做？,procedure,安装,4.4 涨紧器,13,hard,section_boundary;adjacent_continuous_image,True,"根据手册第13页“4.4 涨紧器”，原文步骤如下：
1. 预压涨紧器
松开并取下 M6×10 顶销螺栓（件号 25 ）。
用手压住涨紧器顶杆，用一字螺丝刀从背部螺纹孔插入， 顺时针 扭紧涨紧器螺杆，直至顶杆 自锁 。
2. 安装本体
套入涨紧器垫片。
将涨紧器及垫片装入气缸涨紧器安装位。
旋入并拧紧两个 M6×30 六角法兰面螺栓（件号 1 ） 。
3. 释放自锁并锁紧
用一字螺丝刀 逆时针 扭动涨紧器螺杆，使顶杆自动弹出并顶住涨紧条。
旋入 M6×10 顶销螺栓（带铜垫片，件号 25 ）， 拧紧至 12 N·m 。
4. 对齐
转动曲轴两圈，使磁电机转子 “T” 标记前的刻线与左曲轴箱盖上 M14×1.5 螺塞孔标记槽中线对齐，此时凸轮轴正时链轮上的刻线
与气缸头装配面平齐。",顺时针扭紧涨紧器螺杆直至顶杆自锁；逆时针扭动涨紧器螺杆使顶杆自动弹出,顺时针扭紧涨紧器螺杆直至顶杆自锁；逆时针扭动涨紧器螺杆使顶杆自动弹出,,1.0,,,,,True,True,,,True,True,13,13,12;14,,1.0,1.0,True,True,True,,True,True,True,26690,
adv_img_010,测量气门间隙时塞尺插在哪里？,inspection,测量,4.6 气门间隙,14,hard,adjacent_continuous_image;substep_boundary,True,"根据手册第13-14页“4.5 气缸头盖”，原文相关内容如下：
1. 密封处理
在气缸头密封帽周围 均匀涂抹耐热平面密封硅胶 。
在气缸头装配平面和 新气缸头盖垫片两面 均涂抹耐热平面密封硅胶。
2. 安装与拧紧
安装气缸头盖。
对角均匀拧紧至规定扭矩 （参考气缸头部件清单）。
3. 4.6 气门间隙
测量气门间隙
拆下气缸头盖。
将塞尺插入 凸轮轴基圆与滑动挺柱之间 测量间隙。",将塞尺插入凸轮轴基圆与滑动挺柱之间测量间隙,将塞尺插入凸轮轴基圆与滑动挺柱之间测量间隙,,1.0,,,,,True,True,,,True,True,14,14,13;15,,1.0,1.0,True,True,True,,True,True,True,11525,
adv_img_011,气门间隙标准值中进气门和排气门分别是多少？,spec,测量,4.6 气门间隙,15,hard,table_vs_procedure;adjacent_continuous_image,True,"根据手册第15页“4.6 气门间隙”，原文相关内容如下：
1. 表格：第15页表格
气门类型 | 标准间隙范围
进气门 | 0.13～0.20 mm
排气门 | 0.20～0.30 mm
2. 表格：第15页表格
气门类型=进气门；标准间隙范围=0.13～0.20 mm
3. 表格：第15页表格
气门类型=排气门；标准间隙范围=0.20～0.30 mm
4. 注意 ：必须测量基圆位置，非凸轮升程段。
气门间隙标准值
调整气门间隙
2. 取下滑动挺柱与气门间隙调整垫片。
3. 根据实测间隙与标准值的偏差， 更换对应厚度的调整垫片 （垫片上数字即为厚度值，单位 mm ）。
注意 ：滑动挺柱、调整垫片与气门为 一对一匹配 ，严禁混用。
7. 注意 ：滑动挺柱、调整垫片与气门为 一对一匹配 ，严禁混用。",进气门0.13～0.20 mm；排气门0.20～0.30 mm,进气门0.13～0.20 mm；排气门0.20～0.30 mm,,1.0,,,,,True,True,,,True,True,15,15,14;16,,1.0,1.0,True,True,True,,True,True,True,7359,
adv_img_012,拆卸气门时用气门拆装器压缩后依次拆下哪些件？,procedure,拆卸,4.8 气门,16,hard,opposite_action;adjacent_continuous_image,True,"根据手册第16页“4.8 气门”，原文步骤如下：
1. 拆卸气门
1. 取下 滑动挺柱 和 气门间隙调整垫片 。
2. 使用 气门拆装器 压缩气门弹簧
依次拆下：
气门锁夹
气门弹簧上圈
气门外弹簧
气门内弹簧
气门杆径油封
气门弹簧座
气门（进气门 ×2 ，排气门 ×2 ）
提示 ： 4 组气门组件必须分别标记 ，确保装回原位。",气门锁夹；气门弹簧上圈；气门外弹簧；气门内弹簧；气门杆径油封；气门弹簧座,气门锁夹；气门弹簧上圈；气门外弹簧；气门内弹簧；气门杆径油封；气门弹簧座,,1.0,,,,,True,True,,,True,True,16,16,17,,1.0,1.0,True,True,True,,True,True,True,15352,
adv_img_013,安装气门时气门弹簧间距较密的一端朝哪边？,procedure,安装,4.8 气门,17,hard,opposite_action;adjacent_continuous_image;directionality,True,"根据手册第16-17页“4.8 气门”，原文步骤如下：
1. 安装气门
1. 依次安装：
气门
气门弹簧座
气门杆径油封
气门内弹簧
气门外弹簧
气门弹簧上圈
2. 使用气门拆装器压缩弹簧，装上 气门锁夹 。
3. 安装 气门间隙调整垫片 和 滑动挺柱 。
注意 ：气门弹簧 间距较密的一端（标记为 “b” 和 “b′” ）必须朝下安装 。
5. 注意 ：气门弹簧 间距较密的一端（标记为 “b” 和 “b′” ）必须朝下安装 。",气门弹簧间距较密的一端必须朝下安装,气门弹簧间距较密的一端必须朝下安装,,1.0,,,,,True,True,,,True,True,17,17,16;18,,1.0,1.0,True,True,True,,True,True,True,8737,
